date,open,high,low,close,volume
1986-03-24,1.6119,1.6230,1.6075,1.6230,1606800
1986-03-25,1.6096,1.6140,1.6075,1.6119,3078000
1986-03-26,1.6163,1.6251,1.6119,1.6207,1794000
1986-03-27,1.6251,1.6384,1.6251,1.6295,1713600
1986-03-31,1.6340,1.6451,1.6295,1.6405,1506000
1986-04-01,1.6340,1.6516,1.6318,1.6495,4023600
1986-04-02,1.6472,1.6605,1.6405,1.6560,2499600
1986-04-03,1.6583,1.6781,1.6495,1.6626,2947200
1986-04-04,1.6075,1.6626,1.6075,1.6075,5594400
1986-04-07,1.6030,1.6030,1.5810,1.5854,1653600
1986-04-08,1.6075,1.6251,1.5589,1.6186,3615600
1986-04-09,1.6230,1.6340,1.6053,1.6096,1336800
1986-04-10,1.6140,1.6207,1.6007,1.6140,1824000
1986-04-11,1.6096,1.6163,1.5986,1.6030,2290800
1986-04-14,1.6030,1.6163,1.5942,1.6140,1543200
1986-04-15,1.6096,1.6186,1.6053,1.6163,817200
1986-04-16,1.6295,1.6605,1.6251,1.6583,1784400
1986-04-17,1.6583,1.6670,1.6340,1.6340,2365200
1986-04-18,1.6295,1.6318,1.6075,1.6119,3739200
1986-04-21,1.6053,1.6140,1.6007,1.6119,2433600
1986-04-22,1.6140,1.6251,1.6119,1.6163,4070400
1986-04-23,1.6075,1.6251,1.6053,1.6140,2347200
1986-04-24,1.6119,1.6251,1.6119,1.6251,2568000
1986-04-25,1.6272,1.6361,1.6230,1.6340,2090400
1986-04-28,1.6428,1.6451,1.6340,1.6384,2445600
1986-04-29,1.6384,1.6405,1.6163,1.6272,2128800
1986-04-30,1.6230,1.6295,1.6075,1.6207,3074400
1986-05-01,1.6186,1.6230,1.6140,1.6207,3154800
